date,precipitation,windSpeed
13/6/2018,109.3,17.3
14/6/2018,1.3,14.7
15/6/2018,0.2,18.4
16/6/2018,0,41
17/6/2018,0.4,37.1
18/6/2018,0.4,27.8
19/6/2018,0.4,32.7
20/6/2018,0.4,31.1
21/6/2018,2.6,27.1
22/6/2018,32.9,19.1
23/6/2018,25.6,19.3
24/6/2018,18.1,25.8
25/6/2018,6.2,25.9
26/6/2018,1.7,16.9
27/6/2018,0.4,8.7
28/6/2018,0,19.5
29/6/2018,0.4,30.3
30/6/2018,0.4,32.3
1/7/2018,4.1,28.1
2/7/2018,2.1,29.5
3/7/2018,15.4,31.3
4/7/2018,3.4,32.4
5/7/2018,1.5,28.9
6/7/2018,5,20
7/7/2018,5.2,13.5
8/7/2018,14.4,17.1
9/7/2018,11.3,32.5
10/7/2018,1.3,23.2
11/7/2018,0,13.4
12/7/2018,0.4,19.2
13/7/2018,50.4,24.9
14/7/2018,52.7,37.9
15/7/2018,67.4,46.8
16/7/2018,5.8,41.8
17/7/2018,6.5,29.8
18/7/2018,29.6,42.3
19/7/2018,17.3,36.4
20/7/2018,7.1,26.1
21/7/2018,0,12.2
22/7/2018,0.4,15
23/7/2018,30.8,26
24/7/2018,0.1,30.8
25/7/2018,2.7,15.5
26/7/2018,3.4,14.8
27/7/2018,0.3,11.4
28/7/2018,0,10.4
29/7/2018,0,9
30/7/2018,0,12
31/7/2018,3.3,18.9
1/8/2018,2.7,20.1
2/8/2018,6.1,25.9
3/8/2018,0.4,22.1
4/8/2018,5,10
5/8/2018,0.5,7.3
6/8/2018,0,7.3
7/8/2018,0,9.5
8/8/2018,0.5,27.1
9/8/2018,0.4,38.5
10/8/2018,47.9,25.5
11/8/2018,51.9,25.6
12/8/2018,18.9,23.9
13/8/2018,0.1,24.5
14/8/2018,32.9,28.3
15/8/2018,2.2,22.5
16/8/2018,3.2,19.5
17/8/2018,36.1,8.2
18/8/2018,21.8,14.2
19/8/2018,31.2,22.5
20/8/2018,61.1,14.3
21/8/2018,25.7,8.1
22/8/2018,26.4,12.7
23/8/2018,24.9,20.1
24/8/2018,0.1,17.5
25/8/2018,0,20.7
26/8/2018,80.2,9.1
27/8/2018,27.3,14.5
28/8/2018,71.6,16.8
29/8/2018,23.3,34.9
30/8/2018,6.3,36.3
31/8/2018,7.2,30.2
1/9/2018,32,12.7
2/9/2018,9.8,5.8
3/9/2018,0.3,9.3
4/9/2018,0,23.8
5/9/2018,0.1,18.8
6/9/2018,0,7.5
7/9/2018,0.4,6.1
8/9/2018,24.6,16.1
9/9/2018,16.7,24.9
10/9/2018,0.2,15
11/9/2018,0,10.8
12/9/2018,0.4,43.3
13/9/2018,2.5,33.5
14/9/2018,0,13
15/9/2018,0.4,23.3
16/9/2018,167.5,50
17/9/2018,12,38.9
18/9/2018,1.2,21.8
19/9/2018,0,20
20/9/2018,0,15.8
21/9/2018,0,7.5
22/9/2018,0,8.3
23/9/2018,0.4,9.1
24/9/2018,72.2,9.5
25/9/2018,34.5,20.1
26/9/2018,9.7,14.5
27/9/2018,0.4,6.5
28/9/2018,0,14.4
29/9/2018,0,25.2
30/9/2018,0,23
1/10/2018,2.9,19.7
2/10/2018,0,24.8
3/10/2018,0,21
4/10/2018,0,14.4
5/10/2018,0,24.5
6/10/2018,0,19.9
7/10/2018,0,20.3
8/10/2018,2,23.5
9/10/2018,0.6,16.8
10/10/2018,42.8,16.1
11/10/2018,0,28.8
12/10/2018,0.3,29.3
13/10/2018,0.4,34.6
14/10/2018,0.6,28.3
15/10/2018,31.4,20.5
16/10/2018,8.9,13.4
17/10/2018,1.5,18.6
18/10/2018,12.6,40.5
19/10/2018,0.2,49.2
20/10/2018,0.4,40.6
21/10/2018,0.4,30.1
22/10/2018,0.4,12.6
23/10/2018,0.1,17.1
24/10/2018,0.4,25.9
25/10/2018,0,21.3
26/10/2018,0,12.7
27/10/2018,0,25.8
28/10/2018,0,13.9
29/10/2018,0,18.7
30/10/2018,0,29.9
31/10/2018,0,39.6
1/11/2018,0,42.7
2/11/2018,0.1,28.7
3/11/2018,8.3,17.3
